Name,Address,Category,Website,Notes
Il Terrazzo Ristorante,555 Johnson St Victoria BC,Restaurant - Upscale,ilterrazzo.com,Ian's go-to for visiting investors; ownership changed Apr 2026
10 Acres Bistro,611 Courtney St Victoria BC,Restaurant - Upscale,10acres.ca,Board dinners
10 Acres Commons,620 Humboldt St Victoria BC,Restaurant - Upscale,10acres.ca,Same group as Bistro
Marilena Cafe & Raw Bar,1525 Douglas St Victoria BC,Restaurant - Upscale,marilenacafe.com,YAM 2025 Restaurant of Year; private dining up to 100
The Courtney Room,619 Courtney St Victoria BC,Restaurant - Upscale,thecourtneyroom.com,Private dining 8+ guests $78-140/pp
LURE Restaurant & Bar,100 Harbour Rd Victoria BC,Restaurant - Upscale,lurevictoria.com,Inside Delta Ocean Pointe
Glo Restaurant + Lounge,104-2940 Jutland Rd Victoria BC,Restaurant - Upscale,glovictoria.com,Investor dinners when weather cooperates
Aura Waterfront Restaurant + Patio,680 Montreal St Victoria BC,Restaurant - Upscale,aurarestaurant.ca,Private dining Cove 8 pax / Inlet 12 pax
Wind Cries Mary,45 Bastion Square Victoria BC,Restaurant - Upscale,windcriesmary.ca,Private dining up to 30
The Ruby (Johnson),642 Johnson St Victoria BC,Restaurant - Casual,therubyvictoria.com,
The Local,1205 Wharf St Victoria BC,Restaurant - Casual,thelocalvictoria.com,No email in CSV
CRAFT Beer Market,450 Swift St Victoria BC,Restaurant - Casual,,Not in outreach CSV - gap to plug
Cactus Club,1125 Douglas St Victoria BC,Restaurant - Casual,,Not in outreach CSV - gap to plug
